eps_mutau_magnitude,delta_chi2
0.0,0.06710507821583178
0.002413793103448276,0.012286398550457989
0.004827586206896552,0.07907811775038454
0.007241379310344828,0.2104044962009084
0.009655172413793104,0.434994922859687
0.01206896551724138,0.7972614245755381
0.014482758620689656,1.338593815115047
0.016896551724137933,2.119305954063776
0.019310344827586208,3.2271754893675393
0.021724137931034483,4.72602176301092
0.02413793103448276,6.7244916124878955
0.026551724137931037,9.32196786838972
0.028965517241379312,12.631735559035008
0.03137931034482759,16.774689805941563
0.033793103448275866,21.87737573578326
0.03620689655172414,28.069392701448578
0.038620689655172416,35.47997576402895
0.04103448275862069,44.233412290269996
0.043448275862068966,54.442647559186355
0.04586206896551724,66.17956025937121
0.04827586206896552,79.55753885604179
0.0506896551724138,94.47580331249378
0.053103448275862074,110.88932866635503
0.05551724137931035,127.47407572647194
0.057931034482758624,143.7395808066821
0.0603448275862069,161.62953246973024
0.06275862068965518,181.3954594376529
0.06517241379310346,203.13692288772074
0.06758620689655173,226.94993080785378
0.07,252.89099990512722
