eps_mutau_real,delta_chi2
-0.035,81.29861870599407
-0.034285714285714294,77.18042527035382
-0.03357142857142858,73.16853202016333
-0.03285714285714286,69.26663922244919
-0.03214285714285715,65.47873639694822
-0.03142857142857143,61.807891348204606
-0.03071428571428572,58.25642162289839
-0.030000000000000006,54.82601204659841
-0.02928571428571429,51.517814793908144
-0.028571428571428574,48.332528048000995
-0.02785714285714286,45.27046053230447
-0.027142857142857146,42.33008243116333
-0.026428571428571433,39.50438905128246
-0.025714285714285717,36.792511326380094
-0.025000000000000005,34.19442151879673
-0.02428571428571429,31.71027697251887
-0.023571428571428577,29.339213367001435
-0.02285714285714286,27.079577080614882
-0.022142857142857145,24.929695004669526
-0.021428571428571432,22.887806340134887
-0.020714285714285716,20.952058531872296
-0.020000000000000004,19.120511672524827
-0.019285714285714288,17.391143020841326
-0.018571428571428576,15.761847416114193
-0.01785714285714286,14.230449547143905
-0.017142857142857147,12.794687768911956
-0.01642857142857143,11.452259747678255
-0.015714285714285715,10.200790597552611
-0.015000000000000003,9.037879976272308
-0.014285714285714287,7.960987244692944
-0.013571428571428573,6.967685020479649
-0.012857142857142859,6.055419060673955
-0.012142857142857144,5.221318541957828
-0.01142857142857143,4.461622612247595
-0.010714285714285716,3.7732821163196775
-0.010000000000000002,3.15330305493066
-0.009285714285714288,2.5986896103256356
-0.008571428571428574,2.106460443609336
-0.007857142857142858,1.6736620069445962
-0.0071428571428571435,1.2973842985821307
-0.006428571428571429,0.9747763845313386
-0.005714285714285715,0.7030635416344069
-0.005000000000000001,0.4795628530185354
-0.004285714285714287,0.30170139398475726
-0.0035714285714285718,0.16703268177471386
-0.0028571428571428576,0.07325561734862163
-0.0021428571428571434,0.018231927489239297
-0.0014285714285714288,2.5277976476445474e-06
-0.0007142857142857144,0.0168075670468113
-0.0,0.06710077368160228
0.0,0.06710077368160228
0.0007142857142857144,0.14956871626421275
0.0014285714285714288,0.26314472468502004
0.0021428571428571434,0.4070248407266206
0.0028571428571428576,0.5806801102787631
0.0035714285714285718,0.7838717900267227
0.004285714285714287,1.0166552310299153
0.005000000000000001,1.2793969534572227
0.005714285714285715,1.5728517532421336
0.006428571428571429,1.9052735397574452
0.0071428571428571435,2.2750078563039153
0.007857142857142858,2.6798183379328293
0.008571428571428574,3.121683062838315
0.009285714285714288,3.6028797533715817
0.010000000000000002,4.125990474445786
0.010714285714285716,4.693883052106372
0.01142857142857143,5.309697239496899
0.012142857142857144,5.97684125243768
0.012857142857142859,6.698959554154271
0.013571428571428573,7.479930168778793
0.014285714285714287,8.323833980003712
0.015000000000000003,9.234935155074993
0.015714285714285715,10.217658693449579
0.01642857142857143,11.276565862413406
0.017142857142857147,12.416456959636918
0.01785714285714286,13.650047520520559
0.018571428571428576,14.976040522694632
0.019285714285714288,16.398839102379497
0.020000000000000004,17.92345495572502
0.020714285714285716,19.554893113922105
0.021428571428571432,21.298129499396282
0.022142857142857145,23.158088116328116
0.02285714285714286,25.139623069210785
0.023571428571428577,27.247498186238175
0.02428571428571429,29.486374579737912
0.025000000000000005,31.86079395137071
0.025714285714285717,34.37815065476289
0.026428571428571433,37.046200185665754
0.027142857142857146,39.865786220869495
0.02785714285714286,42.84113084634211
0.028571428571428574,45.9763039153724
0.02928571428571429,49.2752215128676
0.030000000000000006,52.74164295977752
0.03071428571428572,56.37917517839534
0.03142857142857143,60.191272561825514
0.03214285714285715,64.18123915883481
0.03285714285714286,68.36397934528307
0.03357142857142858,72.73860166357306
0.034285714285714294,77.30467443490207
0.035,82.06511497917526
