eps_mutau_magnitude,eps_mutau_phase[deg]
0.010608773775399831,360.0
0.010663235811358135,351.8181818181818
0.010714285714285716,349.2689816906581
0.010820802423522796,343.6363636363636
0.011084704279908248,335.45454545454544
0.01142857142857143,328.13075764865397
0.011467650186983569,327.27272727272725
0.011952996608212056,319.09090909090907
0.012142857142857144,316.5405194971409
0.012556702204123447,310.9090909090909
0.012857142857142859,307.54293910231166
0.01328469151073827,302.72727272727275
0.013571428571428573,300.00936495170737
0.014151782992476358,294.54545454545456
0.014285714285714289,293.46561590254726
0.015000000000000003,287.74311903409756
0.015173491984483313,286.3636363636364
0.015714285714285715,282.6100827879967
0.016388833136939472,278.1818181818182
0.01642857142857143,277.9406006834678
0.017142857142857147,273.64273117071656
0.017805930997082067,270.0
0.01785714285714286,269.70787933356013
0.018571428571428576,265.730821990536
0.019285714285714288,262.2386872620176
0.019373994081975928,261.8181818181818
0.020000000000000004,258.02463610414344
0.020714285714285716,254.24287767435868
0.020834883059124495,253.63636363636363
0.021428571428571432,246.7431389564181
0.021550399277732876,245.45454545454544
0.021428571428571432,244.26560829320002
0.020714285714285716,237.78339672560796
0.020654368920448297,237.27272727272728
0.020000000000000004,235.17055928077153
0.019285714285714288,232.71120119891947
0.018571428571428576,230.03142905133305
0.018330279855435273,229.09090909090907
0.01785714285714286,227.73389263616247
0.017142857142857147,225.47999708647876
0.016428571428571435,222.89808305005099
0.015935385290136907,220.90909090909088
0.015714285714285715,220.06117531962502
0.015000000000000003,217.07711648163203
0.014285714285714285,213.53017230073021
0.014135796055423358,212.72727272727272
0.013571428571428573,209.2598966584462
0.012916355050014957,204.54545454545453
0.012857142857142859,203.964623516447
0.012142857142857144,196.37538263028034
0.012141817549784013,196.36363636363637
0.011703187471355226,188.1818181818182
0.011568075752572378,180.0
0.011703792628159881,171.8181818181818
0.012142857142857144,163.64146197023535
0.012143132313463707,163.63636363636363
0.012857142857142859,156.05444908656813
0.012918345656122526,155.45454545454544
0.013571428571428573,150.7571720311388
0.014138880716839893,147.27272727272728
0.014285714285714285,146.48673930821968
0.015000000000000003,142.93919784984269
0.015714285714285715,139.9542093246866
0.015939451968272494,139.0909090909091
0.01642857142857143,137.1189137439278
0.017142857142857147,134.53588986909787
0.01785714285714286,132.2808331697017
0.01833546240396143,130.9090909090909
0.018571428571428576,129.98901227149307
0.019285714285714285,127.30818929779252
0.020000000000000004,124.84784777622724
0.020660228878133555,122.72727272727272
0.020714285714285716,122.26692905424295
0.021428571428571432,115.78994791739885
0.021556226557535942,114.54545454545453
0.021428571428571432,113.19401623092222
0.020840746609535343,106.36363636363636
0.020714285714285716,105.7269992506688
0.020000000000000004,101.94045725156198
0.01937964125587854,98.18181818181819
0.019285714285714288,97.73426335863067
0.018571428571428576,94.23612162812597
0.01785714285714286,90.25186948166261
0.017813013237977935,90.0
0.017142857142857147,86.31976504891387
0.01642857142857143,82.01935350593907
0.01639543928839775,81.81818181818183
0.015714285714285715,77.34870302814195
0.015179164908975494,73.63636363636364
0.015000000000000003,72.21264517782623
0.014285714285714284,66.48999818404316
0.014157203430855282,65.45454545454545
0.013571428571428573,59.94391455570301
0.013289400095827623,57.27272727272728
0.012857142857142859,52.408469267615956
0.01256076475027597,49.09090909090909
0.012142857142857144,43.41051663470829
0.011956430974827605,40.90909090909091
0.011470238533104124,32.72727272727273
0.01142857142857143,31.813984602780664
0.011086705319101524,24.545454545454547
0.010822086791684681,16.363636363636363
0.010714285714285716,10.686676736841292
0.010663915518947608,8.181818181818182
0.010608773775194737,0.0
